Gender,Constructed,Floor,Member,Dis,Ethinic,education,Head
Female,Wooden House (1 story) ,Earth,5,0,Bangalee,School Secondary Certificate,Husband
Female,Wooden House (1 story) ,Earth,4,0,Bangalee,Primary ,Husband
Female,Wooden House (1 story) ,Earth,5,0,Bangalee,Literate,Husband
Male,Wooden House (1 story) ,Earth,3,0,Bangalee,Primary ,Self
Female,Wooden House (1 story) ,Earth,5,0,Bangalee,Primary ,Husband
Female,Wooden House (1 story) ,Earth,4,0,Bangalee,Primary ,Self
Female,Wooden House (1 story) ,Earth,12,0,Bangalee,Primary ,Husband
Female,Wooden House (1 story) ,Earth,3,0,Bangalee,Primary ,Husband
Female,Wooden House (1 story) ,Concrete,5,0,Bangalee,Primary ,Self
Male,Wooden House (1 story) ,Earth,5,0,Bangalee,Primary ,Husband
Female,Wooden House (2 story) ,Earth,6,0,Bangalee,Never went to school,Son
Male,Tin,Earth,5,1,Bangalee,School Secondary Certificate,Self
Male,Tin,Earth,8,0,Bangalee,Primary ,Self
Female,Tin,Earth,5,0,,Primary ,Self
Male,Tin,Earth,6,0,,Never went to school,Self
Female,Tin,Earth,3,0,,Primary ,Self
Male,Tin,Earth,4,1,Bangalee,Never went to school,Son
Male,Tin,Earth,6,1,,Never went to school,Father
Male,Tin,Earth,3,0,,Primary ,Self
Female,Tin,Earth,7,0,,Primary ,Husband
Female,Tin,Earth,4,0,,School Secondary Certificate,Father
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,,School Secondary Certificate,Husband
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,1,Bangalee,Primary ,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Primary ,Self
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Literate,Husband
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Never went to school,Self
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Primary ,Husband
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,,Bangalee,Primary ,Self
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Primary ,Husband
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Never went to school,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,7,0,Bangalee,Literate,Self
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,7,0,Bangalee,Literate,Husband
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,0,Bangalee,School Secondary Certificate,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Literate,Self
Male,Tin,Earth,3,0,Bangalee,Primary ,Self
Female,Tin,Earth,5,0,Rakhine,Primary ,Wife
Male,Tin,Wood,5,0,Rakhine,School Secondary Certificate,Self
Female,Tin,Earth,5,0,Rakhine,Primary ,Wife
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,3,0,Bangalee,Literate,Self
Female,Tin,Earth,5,0,Bangalee,Primary ,Wife
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,School Secondary Certificate,Wife
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,2,1,Bangalee,Primary ,Wife
Male,Tin,Earth,4,0,Bangalee,Primary ,Son
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Female,Tin,Earth,2,0,Bangalee,Literate,Wife
Female,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Primary ,Wife
Male,Tin,Earth,6,1,Bangalee,Literate,Self
,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,9,0,,Never went to school,Others (Please specify)
,Concrete Building,Earth,4,0,,Primary ,Self
,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,0,,Primary ,Husband
Male,Tin,Earth,6,0,Bangalee,Primary ,Father
,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,0,,Never went to school,Self
Female,Tin,Earth,5,0,,Never went to school,Husband
Male,Tin,Earth,5,0,,Literate,Self
Male,Tin,Earth,4,0,,Graduate,Son
Female,Tin,Earth,6,0,,Literate,Husband
Male,Tin,Earth,3,0,,Literate,Self
Female,Tin,Earth,4,0,,Never went to school,Others (Please specify)
Female,Tin,Earth,5,0,,Primary ,Husband
Female,Tin,Earth,4,0,,Primary ,Mother
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,,Literate,Self
Male,Tin,Earth,5,0,,Literate,Self
,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,9,0,,Never went to school,Self
,Brick Noggin Building,Concrete,6,0,,School Secondary Certificate,Self
Female,Tin,Earth,6,0,,Never went to school,Husband
Male,Tin,Earth,4,0,,Never went to school,Self
Male,Tin,Earth,4,0,,Never went to school,Self
Male,Tin,Earth,6,0,,Never went to school,Self
Male,Wooden House (1 story) ,Concrete,6,0,,Primary ,Self
Male,Tin,Earth,5,0,,Primary ,Self
Female,Tin,Earth,5,0,,Primary ,Husband
Female,Tin,Earth,4,0,,Primary ,Husband
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,0,,Never went to school,Husband
Female,Tin,Earth,6,0,Bangalee,Primary ,Wife
Female,Tin,Earth,7,0,Bangalee,Primary ,Wife
Male,Tin,Earth,6,0,Bangalee,Never went to school,Self
Male,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Self
Male,Tin,Earth,2,0,Bangalee,Literate,Self
Female,Tin,Earth,3,1,Bangalee,Primary ,Husband
Female,Wooden House (2 story) ,Earth,5,0,Bangalee,Primary ,Husband
Male,Concrete Building,Concrete,5,0,Bangalee,Primary ,Son
Male,Tin,Earth,4,,Bangalee,School Secondary Certificate,Self
Female,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,Concrete Building,Concrete,7,0,Bangalee,Never went to school,Husband
Female,Tin,Earth,6,0,Bangalee,Primary ,Husband
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Khotrio,School Secondary Certificate,Father
Male,Tin,Earth,7,0,Bangalee,Primary ,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,0,Bangalee,School Secondary Certificate,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,0,Bangalee,School Secondary Certificate,Self
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Primary ,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,0,Bangalee,School Secondary Certificate,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Primary ,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Primary ,Self
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Primary ,Wife
Male,Brick Noggin Building,Concrete,5,0,Bangalee,Literate,Self
Male,Brick Noggin Building,Earth,5,0,Bangalee,School Secondary Certificate,Self
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Male,Tin,Earth,5,1,Bangalee,Primary ,Self
Female,Tin,Earth,6,0,Bangalee,Literate,Husband
Male,Tin,Earth,6,1,Bangalee,School Secondary Certificate,Self
Female,Concrete Building,Concrete,3,0,Bangalee,Primary ,Self
Female,Tin,Earth,2,0,Bangalee,Literate,Husband
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,0,Bangalee,Primary ,Self
Female,Tin,Earth,5,1,Bangalee,Never went to school,Husband
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,6,0,Bangalee,School Secondary Certificate,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Husband
Male,Tin,Earth,7,0,Bangalee,Higher Secondary Certificate,Self
Female,Wooden House (2 story) ,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,School Secondary Certificate,Self
Female,Tin,Earth,6,0,Bangalee,Primary ,Husband
Female,Wooden House (2 story) ,Earth,5,0,Bangalee,Primary ,Husband
Male,Tin,Earth,5,0,Bangalee,Primary ,Son
Female,Wooden House (2 story) ,Earth,5,0,Bangalee,School Secondary Certificate,Husband
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Female,Tin,Earth,4,1,Bangalee,Primary ,Wife
Male,Tin,Earth,7,0,Bangalee,Primary ,Son
Female,Tin,Earth,5,1,Bangalee,Literate,Wife
Female,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,Primary ,Wife
Female,Tin,Earth,3,0,Bangalee,Literate,Wife
Female,Tin,Earth,6,0,Bangalee,Literate,Self
Female,Tin,Earth,5,0,Bangalee,Literate,Wife
Female,Tin,Earth,2,0,Bangalee,Literate,Wife
Female,Tin,Earth,3,1,Bangalee,Primary ,Wife
Male,Tin,Concrete,6,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Literate,Self
Male,Tin,Earth,5,0,Bangalee,Literate,Self
Male,Tin,Earth,7,0,Bangalee,Literate,Self
Female,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,Primary ,Wife
Male,Tin,Earth,6,1,Bangalee,Primary ,Self
Female,Tin,Earth,4,0,Bangalee,Primary ,Wife
Male,Tin,Earth,4,0,Bangalee,Literate,Self
Male,Tin,Earth,5,0,Bangalee,Literate,Self
Male,Tin,Concrete,6,0,Bangalee,Literate,Self
Female,Tin,Earth,4,0,Bangalee,Never went to school,Wife
Male,Tin,Concrete,4,0,Bangalee,Master,Son
Male,Tin,Earth,5,0,Bangalee,Never went to school,Self
Female,Tin,Earth,6,0,Bangalee,Never went to school,Wife
Female,Tin,Earth,6,0,Bangalee,Primary ,Wife
Female,Tin,Earth,3,0,Bangalee,Primary ,Wife
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,0,Bangalee,Literate,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,6,0,Bangalee,Primary ,Husband
Male,Concrete Building,Concrete,3,0,Bangalee,Primary ,Self
Female,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,Tin,Earth,6,0,Bangalee,Literate,Husband
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Wooden House (2 story) ,Earth,6,0,Bangalee,Primary ,Self
Female,Tin,Earth,2,1,Bangalee,Never went to school,Self
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,7,0,Bangalee,Never went to school,Self
Female,Tin,Earth,3,0,Bangalee,Primary ,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,0,Bangalee,Literate,Self
Male,Tin,Earth,8,0,Bangalee,Primary ,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,6,0,Bangalee,Primary ,Father
Female,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Father
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,13,0,Bangalee,Primary ,Father
Female,Tin,Earth,3,0,Bangalee,Primary ,Husband
Female,Tin,Earth,2,0,Bangalee,Literate,Self
Female,Tin,Earth,3,0,Bangalee,Literate,Husband
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,0,Bangalee,Primary ,Self
Male,Wooden House (1 story) ,Earth,5,0,Bangalee,School Secondary Certificate,Self
Female,Wooden House (1 story) ,Earth,4,0,Bangalee,School Secondary Certificate,Husband
Female,Wooden House (1 story) ,Earth,4,0,Bangalee,Literate,Husband
Female,Wooden House (1 story) ,Earth,6,0,Bangalee,Primary ,Husband
Male,Wooden House (1 story) ,Earth,10,0,Bangalee,Primary ,Self
Male,Wooden House (1 story) ,Earth,7,0,Bangalee,Primary ,Nephew
Male,Wooden House (1 story) ,Bamboo,5,0,Bangalee,Primary ,Self
Female,Tin,Bamboo,3,0,Bangalee,School Secondary Certificate,Husband
Female,Wooden House (1 story) ,Earth,7,1,Bangalee,Primary ,Father
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Bangalee,School Secondary Certificate,Father
,,,,,,,
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,School Secondary Certificate,Self
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,62,1,Bangalee,Primary ,Self
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,7,0,Bangalee,Literate,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,0,Bangalee,Primary ,Husband
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Primary ,Self
Male,Tin,Earth,6,1,Bangalee,School Secondary Certificate,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,1,Khotrio,Literate,Brother
Male,Tin,Earth,8,1,Bangalee,Higher Secondary Certificate,Self
Male,Tin,Earth,5,0,Bangalee,Master,Self
Male,Tin,Earth,8,1,Bangalee,School Secondary Certificate,Son
Female,Brick Noggin Building,Concrete,8,1,Bangalee,Primary ,Wife
Female,Tin,Earth,2,0,Bangalee,Literate,Wife
Female,Wooden House (2 story) ,Earth,4,0,Bangalee,Literate,Self
Female,Brick Noggin Building,Concrete,6,0,Bangalee,School Secondary Certificate,Wife
Male,Tin,Earth,6,0,Bangalee,Literate,Son
Male,Brick Noggin Building,Earth,6,0,Bangalee,Literate,Self
Male,Tin,Earth,5,0,Bangalee,Higher Secondary Certificate,Son
Male,Tin,Earth,5,0,Bangalee,Literate,Self
Male,Tin,Earth,7,0,Bangalee,Literate,Self
Male,Tin,Earth,7,0,Bangalee,Undergraduate,Son
Male,Tin,Earth,4,0,Bangalee,School Secondary Certificate,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,1,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Son
Female,Tin,Earth,4,0,Bangalee,Primary ,Wife
Male,Tin,Earth,5,0,Bangalee,Never went to school,Self
Male,Tin,Earth,3,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Primary ,Wife
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,0,Bangalee,Primary ,Self
Female,Tin,Earth,4,0,Bangalee,Higher Secondary Certificate,Wife
Female,Tin,Earth,5,0,Bangalee,Literate,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,1,Bangalee,Primary ,Father in law
Male,Concrete Building,Concrete,5,0,Bangalee,Literate,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Primary ,Husband
Female,Tin,Earth,3,0,Bangalee,Primary ,Husband
Female,Tin,Earth,5,0,Bangalee,Graduate,Husband
Male,Tin,Earth,4,0,Bangalee,Master,Self
Female,Tin,Earth,3,0,Bangalee,Never went to school,Self
Female,Tin,Earth,7,0,Bangalee,Primary ,Wife
Male,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Literate,Self
Male,Tin,Earth,7,0,Bangalee,Literate,Wife
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,1,Bangalee,Literate,Self
