Age,Gender,Constructed,Floor,People,Whois,sixty,disability
30,Female,Wooden House (1 story) ,Earth,5,Over 60 years old Under 5 years old,1,0
32,Female,Wooden House (1 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
40,Female,Wooden House (1 story) ,Earth,5,"No, there is not a family member in any of these groups",0,0
28,Male,Wooden House (1 story) ,Earth,3,Under 5 years old,0,0
58,Female,Wooden House (1 story) ,Earth,5,Over 60 years old Under 5 years old,1,0
41,Female,Wooden House (1 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
27,Female,Wooden House (1 story) ,Earth,12,Over 60 years old Under 5 years old,1,0
37,Female,Wooden House (1 story) ,Earth,3,"No, there is not a family member in any of these groups",0,0
51,Female,Wooden House (1 story) ,Concrete,5,"No, there is not a family member in any of these groups",0,0
41,Male,Wooden House (1 story) ,Earth,5,Under 5 years old,0,0
50,Female,Wooden House (2 story) ,Earth,6,Over 60 years old Under 5 years old,1,0
27,Male,Tin,Earth,5,Under 5 years old Person with disability,0,1
40,Male,Tin,Earth,8,Under 5 years old,0,0
25,Female,Tin,Earth,5,Under 5 years old,0,0
46,Male,Tin,Earth,6,"No, there is not a family member in any of these groups",0,0
45,Female,Tin,Earth,3,Over 60 years old,1,0
65,Male,Tin,Earth,4,Over 60 years old Person with disability,1,1
19,Male,Tin,Earth,6,Under 5 years old Person with disability,0,1
42,Male,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
36,Female,Tin,Earth,7,Under 5 years old,0,0
16,Female,Tin,Earth,4,Under 5 years old,0,0
27,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Under 5 years old,0,0
32,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,Under 5 years old Person with disability,0,1
41,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
50,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,"No, there is not a family member in any of these groups",0,0
35,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
40,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,"No, there is not a family member in any of these groups",0,0
55,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,,,
32,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,Under 5 years old,0,0
55,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,Over 60 years old,1,0
84,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,7,Over 60 years old Under 5 years old Mother with new borne baby,1,0
45,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,7,"No, there is not a family member in any of these groups",0,0
45,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,Under 5 years old,0,0
50,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
32,Male,Tin,Earth,3,Pregnant,0,0
52,Female,Tin,Earth,5,Over 60 years old,1,0
60,Male,Tin,Wood,5,Over 60 years old,1,0
50,Female,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
35,Male,Tin,Earth,4,Under 5 years old,0,0
60,Male,Tin,Earth,3,Over 60 years old,1,0
42,Female,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
41,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
48,Male,Tin,Earth,5,Under 5 years old,0,0
25,Female,Tin,Earth,3,Under 5 years old,0,0
38,Male,Tin,Earth,5,Under 5 years old,0,0
23,Female,Tin,Earth,2,Person with disability,0,1
22,Male,Tin,Earth,4,Over 60 years old,1,0
42,Male,Tin,Earth,4,Under 5 years old,0,0
62,Female,Tin,Earth,2,Over 60 years old,1,0
40,Female,Tin,Earth,2,"No, there is not a family member in any of these groups",0,0
20,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Under 5 years old,0,0
48,Male,Tin,Earth,6,Pregnant Person with disability,0,1
50,,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,9,Under 5 years old Over 60 years old,1,0
35,,Concrete Building,Earth,4,Under 5 years old,0,0
28,,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,Under 5 years old,0,0
22,Male,Tin,Earth,6,Under 5 years old,0,0
45,,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,Under 5 years old,0,0
26,Female,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
46,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
25,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
43,Female,Tin,Earth,6,Over 60 years old,1,0
29,Male,Tin,Earth,3,Under 5 years old,0,0
47,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
25,Female,Tin,Earth,5,Over 60 years old,1,0
38,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
42,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
29,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
,,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,9,Under 5 years old,0,0
46,,Brick Noggin Building,Concrete,6,Over 60 years old Under 5 years old,1,0
43,Female,Tin,Earth,6,"No, there is not a family member in any of these groups",0,0
28,Male,Tin,Earth,4,Under 5 years old,0,0
32,Male,Tin,Earth,4,Under 5 years old,0,0
39,Male,Tin,Earth,6,Over 60 years old,1,0
62,Male,Wooden House (1 story) ,Concrete,6,Over 60 years old Under 5 years old,1,0
55,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
32,Female,Tin,Earth,5,Under 5 years old,0,0
24,Female,Tin,Earth,4,Under 5 years old,0,0
39,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,"No, there is not a family member in any of these groups",0,0
37,Female,Tin,Earth,6,Over 60 years old Under 5 years old,1,0
46,Female,Tin,Earth,7,Over 60 years old,1,0
57,Male,Tin,Earth,6,"No, there is not a family member in any of these groups",0,0
38,Male,Tin,Earth,5,Over 60 years old,1,0
73,Male,Tin,Earth,2,Over 60 years old,1,0
25,Female,Tin,Earth,3,Person with disability,0,1
35,Female,Wooden House (2 story) ,Earth,5,"No, there is not a family member in any of these groups",0,0
60,Male,Concrete Building,Concrete,5,Under 5 years old,0,0
38,Male,Tin,Earth,4,,,
35,Female,Tin,Earth,2,Over 60 years old,1,0
45,Female,Concrete Building,Concrete,7,Pregnant Under 5 years old,0,0
45,Female,Tin,Earth,6,"No, there is not a family member in any of these groups",0,0
65,Male,Tin,Earth,5,Over 60 years old,1,0
55,Male,Tin,Earth,5,Under 5 years old,0,0
59,,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Over 60 years old Under 5 years old,1,0
51,Male,Tin,Earth,7,Over 60 years old Under 5 years old,1,0
45,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,Pregnant,0,0
35,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,Over 60 years old,1,0
45,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,"No, there is not a family member in any of these groups",0,0
55,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
45,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,"No, there is not a family member in any of these groups",0,0
46,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,"No, there is not a family member in any of these groups",0,0
35,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,"No, there is not a family member in any of these groups",0,0
40,Male,Brick Noggin Building,Concrete,5,Over 60 years old,1,0
62,Male,Brick Noggin Building,Earth,5,Over 60 years old Under 5 years old,1,0
50,Female,Tin,Earth,5,Pregnant,0,0
64,Male,Tin,Earth,5,Over 60 years old Under 5 years old Person with disability Pregnant,1,1
46,Female,Tin,Earth,6,Under 5 years old,0,0
60,Male,Tin,Earth,6,Over 60 years old Person with disability,1,1
52,Female,Concrete Building,Concrete,3,Over 60 years old,1,0
55,Female,Tin,Earth,2,Over 60 years old,1,0
35,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,Over 60 years old Under 5 years old Mother with new borne baby,1,0
45,Female,Tin,Earth,5,Person with disability,0,1
42,Male,Tin,Earth,5,Under 5 years old,0,0
35,Male,Tin,Earth,6,Over 60 years old Under 5 years old,1,0
48,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
30,Female,Tin,Earth,5,Over 60 years old Under 5 years old,1,0
41,Male,Tin,Earth,7,"No, there is not a family member in any of these groups",0,0
40,Female,Wooden House (2 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
40,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
45,Female,Tin,Earth,6,Under 5 years old,0,0
45,Female,Wooden House (2 story) ,Earth,5,Over 60 years old,1,0
70,Male,Tin,Earth,5,Over 60 years old Under 5 years old,1,0
30,Female,Wooden House (2 story) ,Earth,5,Over 60 years old Under 5 years old,1,0
45,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
29,Female,Tin,Earth,4,Under 5 years old Person with disability,0,1
27,Male,Tin,Earth,7,Over 60 years old Under 5 years old,1,0
52,Female,Tin,Earth,5,Over 60 years old Person with disability,1,1
35,Female,Tin,Earth,2,"No, there is not a family member in any of these groups",0,0
22,Female,Tin,Earth,3,Under 5 years old,0,0
45,Female,Tin,Earth,3,Over 60 years old,1,0
70,Female,Tin,Earth,6,Over 60 years old Under 5 years old,1,0
42,Female,Tin,Earth,5,Over 60 years old,1,0
55,Female,Tin,Earth,2,Over 60 years old,1,0
20,Female,Tin,Earth,3,Under 5 years old Person with disability,0,1
50,Male,Tin,Concrete,6,Over 60 years old Under 5 years old,1,0
42,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
38,Male,Tin,Earth,5,Over 60 years old,1,0
38,Male,Tin,Earth,7,Under 5 years old,0,0
33,Female,Tin,Earth,2,"No, there is not a family member in any of these groups",0,0
25,Female,Tin,Earth,3,Under 5 years old,0,0
42,Male,Tin,Earth,6,Under 5 years old Person with disability,0,1
38,Female,Tin,Earth,4,Under 5 years old,0,0
55,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
40,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
65,Male,Tin,Concrete,6,Over 60 years old Under 5 years old,1,0
56,Female,Tin,Earth,4,Over 60 years old,1,0
25,Male,Tin,Concrete,4,"No, there is not a family member in any of these groups",0,0
40,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
52,Female,Tin,Earth,6,Over 60 years old Pregnant,1,0
27,Female,Tin,Earth,6,Under 5 years old,0,0
20,Female,Tin,Earth,3,Under 5 years old,0,0
61,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,Over 60 years old,1,0
45,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
40,Male,Tin,Earth,5,Under 5 years old,0,0
25,Female,Tin,Earth,6,Over 60 years old Under 5 years old,1,0
32,Male,Concrete Building,Concrete,3,"Under 5 years old No, there is not a family member in any of these groups",0,0
42,Female,Tin,Earth,2,"No, there is not a family member in any of these groups",0,0
55,Female,Tin,Earth,6,Over 60 years old,1,0
25,Female,Tin,Earth,5,Under 5 years old,0,0
30,Male,Tin,Earth,5,Over 60 years old Under 5 years old,1,0
32,Female,Tin,Earth,5,Under 5 years old Over 60 years old,1,0
25,Male,Wooden House (2 story) ,Earth,6,Over 60 years old Under 5 years old,1,0
65,Female,Tin,Earth,2,Over 60 years old Person with disability,1,1
60,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,7,Over 60 years old Under 5 years old,1,0
28,Female,Tin,Earth,3,Under 5 years old,0,0
60,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,Over 60 years old,1,0
65,Male,Tin,Earth,8,Over 60 years old Under 5 years old Pregnant,1,0
22,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,6,Over 60 years old Under 5 years old,1,0
18,Female,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
23,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,13,Over 60 years old Under 5 years old,1,0
40,Female,Tin,Earth,3,Under 5 years old,0,0
38,Female,Tin,Earth,2,Over 60 years old,1,0
40,Female,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
33,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,Over 60 years old Under 5 years old,1,0
39,Male,Wooden House (1 story) ,Earth,5,Under 5 years old Over 60 years old,1,0
26,Female,Wooden House (1 story) ,Earth,4,Under 5 years old,0,0
45,Female,Wooden House (1 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
35,Female,Wooden House (1 story) ,Earth,6,Under 5 years old,0,0
58,Male,Wooden House (1 story) ,Earth,10,Under 5 years old,0,0
42,Male,Wooden House (1 story) ,Earth,7,Over 60 years old,1,0
46,Male,Wooden House (1 story) ,Bamboo,5,Over 60 years old,1,0
22,Female,Tin,Bamboo,3,Under 5 years old,0,0
32,Female,Wooden House (1 story) ,Earth,7,Over 60 years old Person with disability,1,1
17,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
,,,,,,,
30,Male,Tin,Earth,4,Over 60 years old,1,0
40,Male,Tin,Earth,4,Over 60 years old Under 5 years old,1,0
39,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Under 5 years old,0,0
38,Male,Tin,Earth,62,Over 60 years old Person with disability Under 5 years old,1,1
32,Female,Tin,Earth,5,Over 60 years old,1,0
50,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,7,Under 5 years old Pregnant,0,0
59,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,Over 60 years old,1,0
52,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,"No, there is not a family member in any of these groups",0,0
68,Male,Tin,Earth,6,Over 60 years old Under 5 years old Mother with new borne baby Person with disability,1,1
30,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,Over 60 years old Under 5 years old Person with disability,1,1
32,Male,Tin,Earth,8,Over 60 years old Person with disability,1,1
36,Male,Tin,Earth,5,Over 60 years old,1,0
30,Male,Tin,Earth,8,Over 60 years old Person with disability,1,1
35,Female,Brick Noggin Building,Concrete,8,Over 60 years old Person with disability,1,1
40,Female,Tin,Earth,2,Over 60 years old,1,0
56,Female,Wooden House (2 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
37,Female,Brick Noggin Building,Concrete,6,Over 60 years old Pregnant,1,0
21,Male,Tin,Earth,6,Under 5 years old,0,0
40,Male,Brick Noggin Building,Earth,6,Over 60 years old Under 5 years old,1,0
18,Male,Tin,Earth,5,Over 60 years old,1,0
53,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
60,Male,Tin,Earth,7,Over 60 years old Under 5 years old,1,0
20,Male,Tin,Earth,7,Over 60 years old Under 5 years old,1,0
81,Male,Tin,Earth,4,Over 60 years old,1,0
55,Male,Tin,Earth,5,Under 5 years old,0,0
65,Female,Tin,Earth,1,Over 60 years old,1,0
21,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
45,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
42,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
70,Male,Tin,Earth,3,Over 60 years old,1,0
53,Female,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
53,Male,Tin,Earth,4,Over 60 years old,1,0
36,Male,Tin,Earth,4,Over 60 years old,1,0
50,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Over 60 years old,1,0
45,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,"No, there is not a family member in any of these groups",0,0
24,Female,Tin,Earth,4,Under 5 years old,0,0
40,Female,Tin,Earth,5,Mother with new borne baby,0,0
19,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Over 60 years old Person with disability,1,1
62,Male,Concrete Building,Concrete,5,Over 60 years old,1,0
28,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,Over 60 years old Under 5 years old Mother with new borne baby,1,0
36,Female,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
30,Female,Tin,Earth,5,Over 60 years old Under 5 years old,1,0
